Date,Confirmed_Cases
06-04-2021,909002
07-04-2021,910943
08-04-2021,913274
09-04-2021,915832
10-04-2021,918597
11-04-2021,921906
12-04-2021,925401
13-04-2021,928664
14-04-2021,932892
15-04-2021,937049
16-04-2021,942135
17-04-2021,948231
18-04-2021,955455
19-04-2021,962037
20-04-2021,968000
21-04-2021,976987
22-04-2021,986703
23-04-2021,997462
24-04-2021,1009228
25-04-2021,1020926
26-04-2021,1033560
27-04-2021,1043441
28-04-2021,1054875
29-04-2021,1069544
30-04-2021,1084336
01-05-2021,1101690
02-05-2021,1121102
03-05-2021,1145022
04-05-2021,1163994
05-05-2021,1184028
06-05-2021,1206232
07-05-2021,1228186
08-05-2021,1245374
09-05-2021,1265439
10-05-2021,1287603
11-05-2021,1302589
12-05-2021,1322934
13-05-2021,1344386
14-05-2021,1344386
15-05-2021,1366785
16-05-2021,1411320
17-05-2021,1435491
18-05-2021,1454052
19-05-2021,1475372
20-05-2021,1498532
21-05-2021,1521142
22-05-2021,1542079
23-05-2021,1562060
24-05-2021,1580827
25-05-2021,1593821
26-05-2021,1609105
27-05-2021,1627390
28-05-2021,1643557
30-05-2021,1671742
31-05-2021,1685142
01-06-2021,1693085
02-06-2021,1704388
03-06-2021,1717156
04-06-2021,1728577
05-06-2021,1738990
06-06-2021,1749363
07-06-2021,1758339
08-06-2021,1763211
09-06-2021,1771007
10-06-2021,1779773
11-06-2021,1787883
03-04-2020,1
04-04-2020,1
05-04-2020,1
06-04-2020,1
07-04-2020,1
08-04-2020,1
09-04-2020,1
10-04-2020,1
11-04-2020,1
12-04-2020,1
13-04-2020,1
14-04-2020,1
15-04-2020,1
16-04-2020,1
17-04-2020,1
18-04-2020,1
19-04-2020,1
20-04-2020,1
21-04-2020,1
22-04-2020,1
23-04-2020,1
24-04-2020,1
25-04-2020,1
26-04-2020,1
27-04-2020,1
28-04-2020,1
29-04-2020,1
30-04-2020,1
01-05-2020,1
02-05-2020,1
03-05-2020,1
04-05-2020,1
05-05-2020,1
06-05-2020,1
07-05-2020,1
08-05-2020,1
09-05-2020,1
10-05-2020,1
11-05-2020,1
12-05-2020,1
13-05-2020,1
14-05-2020,1
15-05-2020,1
16-05-2020,1
17-05-2020,1
18-05-2020,1
19-05-2020,1
20-05-2020,1
21-05-2020,1
22-05-2020,1
23-05-2020,1
24-05-2020,1
